ticker,name,sector,industry,comment
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods,
CPRT,Copart Inc.,Consumer Discretionary,Auto & Truck Dealerships,
CPT,Camden Property Trust,Real Estate,REIT - Residential,
CRH,CRH plc,Materials,Construction Materials,
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,
CRM,Salesforce Inc.,Information Technology,Software - Application,
CRWD,CrowdStrike Holdings Inc.,Information Technology,Software - Infrastructure,
CSCO,Cisco Systems Inc.,Information Technology,Communication Equipment,
CSGP,CoStar Group,Real Estate,Real Estate Services,
CSX,CSX Corporation,Industrials,Railroads,
CTAS,Cintas Corporation,Industrials,Specialty Business Services,
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,
CTSH,Cognizant Technology Solutions Corporation,Information Technology,Information Technology Services,
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,
CVNA,Carvana,Consumer Discretionary,Automotive Retail,
CVS,CVS Health Corporation,Health Care,Healthcare Plans,
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,
D,Dominion Energy Inc.,Utilities,Utilities - Regulated Electric,
DAL,Delta Air Lines Inc.,Industrials,Airlines,
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,
DD,DuPont de Nemours Inc.,Materials,Specialty Chemicals,
DDOG,Datadog Inc.,Information Technology,Software - Application,
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,
DECK,Deckers Brands,Consumer Discretionary,Footwear,
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",
DG,Dollar General Corporation,Consumer Staples,Discount Stores,
DGX,Quest Diagnostics Inc.,Health Care,Diagnostics & Research,
DHI,D.R. Horton Inc.,Consumer Discretionary,Residential Construction,
DHR,Danaher Corporation,Health Care,Diagnostics & Research,
DIA,SPDR Dow Jones Industrial Average ETF,ETF,Index ETF,
DIS,The Walt Disney Company,Communication Services,Entertainment,
DLR,Digital Realty Trust Inc.,Real Estate,REIT - Specialty,
DLTR,Dollar Tree Inc.,Consumer Staples,Discount Stores,
DOC,Healthpeak Properties,Real Estate,Health Care REITs,
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,
DOW,Dow Inc.,Materials,Commodity Chemicals,
DPZ,Domino's,Consumer Discretionary,Restaurants,
DRI,Darden Restaurants Inc.,Consumer Discretionary,Restaurants,
DTE,DTE Energy,Utilities,Multi-Utilities,
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,
DVA,DaVita Inc.,Health Care,Medical Care Facilities,
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,
DXCM,Dexcom,Health Care,Health Care Equipment,
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,
EBAY,eBay Inc.,Consumer Discretionary,Internet Retail,
ECL,Ecolab Inc.,Materials,Specialty Chemicals,
ED,Consolidated Edison Inc.,Utilities,Utilities - Regulated Electric,
EFX,Equifax,Industrials,Research & Consulting Services,
EG,Everest Group,Financials,Reinsurance,
EIX,Edison International,Utilities,Utilities - Regulated Electric,
EL,Estee Lauder Companies Inc.,Consumer Staples,Household & Personal Products,
ELV,Elevance Health Inc.,Health Care,Healthcare Plans,
EME,Emcor,Industrials,Construction & Engineering,
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,
ENTG,Entegris Inc.,Information Technology,Semiconductor Equipment,
EOG,EOG Resources Inc.,Energy,Oil & Gas E&P,
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,
EQIX,Equinix Inc.,Real Estate,REIT - Specialty,
EQR,Equity Residential,Real Estate,REIT - Residential,
EQT,EQT Corporation,Energy,Oil & Gas E&P,
ERIE,Erie Indemnity,Financials,Insurance Brokers,
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,
ESS,Essex Property Trust Inc.,Real Estate,REIT - Residential,
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,
ETSY,Etsy Inc.,Consumer Discretionary,Internet Retail,
EVRG,Evergy Inc.,Utilities,Utilities - Regulated Electric,
EW,Edwards Lifesciences Corporation,Health Care,Medical Devices,
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,
EXPD,Expeditors International of Washington Inc.,Industrials,Integrated Freight & Logistics,
EXPE,Expedia Group Inc.,Consumer Discretionary,Travel Services,
EXR,Extra Space Storage Inc.,Real Estate,REIT - Self Storage,
F,Ford Motor Company,Consumer Discretionary,Auto Manufacturers,
FANG,Diamondback Energy Inc.,Energy,Oil & Gas E&P,
FAST,Fastenal Company,Industrials,Industrial Distribution,
FCX,Freeport-McMoRan Inc.,Materials,Copper,
FDS,FactSet Research Systems Inc.,Financials,Financial Data & Stock Exchanges,
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,
FFIV,"F5, Inc.",Information Technology,Communications Equipment,
FICO,Fair Isaac,Information Technology,Application Software,
FIS,Fidelity National Information Services Inc.,Information Technology,Information Technology Services,
FISV,Fiserv Inc.,Information Technology,Information Technology Services,
FITB,Fifth Third Bancorp,Financials,Banks - Regional,
FIX,Comfort Systems USA,Industrials,Construction & Engineering,
FMC,FMC Corporation,Materials,Agricultural Inputs,
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,
FOXA,Fox Corporation Class A,Communication Services,Entertainment,
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,
FSLR,First Solar,Information Technology,Semiconductors,
FTNT,Fortinet Inc.,Information Technology,Software - Infrastructure,
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,
GDX,VanEck Gold Miners ETF,ETF,Gold Miners ETF,
GDXJ,VanEck Junior Gold Miners ETF,ETF,Gold Miners ETF,
GE,GE Aerospace,Industrials,Aerospace & Defense,Formerly General Electric
GEHC,GE HealthCare Technologies Inc.,Health Care,Medical Devices,
GEN,Gen Digital,Information Technology,Systems Software,
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,
GILD,Gilead Sciences Inc.,Health Care,Drug Manufacturers - General,
GIS,General Mills Inc.,Consumer Staples,Packaged Foods,
GL,Globe Life,Financials,Life & Health Insurance,
GLD,SPDR Gold Shares,ETF,Gold ETF,
GLW,Corning Inc.,Information Technology,Electronic Components,
GM,General Motors Company,Consumer Discretionary,Auto Manufacturers,
GNRC,Generac,Industrials,Electrical Components & Equipment,
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,
GOOGL,Alphabet Inc. Class A,Communication Services,Internet Content & Information,Formerly Google
GPC,Genuine Parts Company,Consumer Discretionary,Specialty Retail,
GPN,Global Payments Inc.,Information Technology,Information Technology Services,
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,
GS,The Goldman Sachs Group Inc.,Financials,Capital Markets,
GWW,W.W. Grainger Inc.,Industrials,Industrial Distribution,
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,
HAS,Hasbro Inc.,Consumer Discretionary,Leisure,
HBAN,Huntington Bancshares Inc.,Financials,Banks - Regional,
HCA,HCA Healthcare Inc.,Health Care,Medical Care Facilities,
HD,The Home Depot Inc.,Consumer Discretionary,Home Improvement Retail,
HIG,The Hartford Financial Services Group,Financials,Insurance - Diversified,
HII,Huntington Ingalls Industries Inc.,Industrials,Aerospace & Defense,
HLT,Hilton Worldwide Holdings Inc.,Consumer Discretionary,Lodging,
HMC,Honda Motor Co. Ltd.,Consumer Discretionary,Auto Manufacturers,
HOLX,Hologic Inc.,Health Care,Medical Instruments,
HON,Honeywell International Inc.,Industrials,Conglomerates,
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,
HPE,Hewlett Packard Enterprise Co.,Information Technology,Computer Hardware,
HPQ,HP Inc.,Information Technology,Computer Hardware,
HRL,Hormel Foods Corporation,Consumer Staples,Packaged Foods,
HSIC,Henry Schein,Health Care,Health Care Distributors,
HST,Host Hotels & Resorts Inc.,Real Estate,REIT - Hotel & Motel,
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,
HUM,Humana Inc.,Health Care,Healthcare Plans,
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,
IAU,iShares Gold Trust,ETF,Gold ETF,
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,
IBM,International Business Machines,Information Technology,Information Technology Services,
ICE,Intercontinental Exchange Inc.,Financials,Financial Data & Stock Exchanges,
IDXX,IDEXX Laboratories Inc.,Health Care,Diagnostics & Research,
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,
IFF,International Flavors & Fragrances Inc.,Materials,Specialty Chemicals,
INCY,Incyte,Health Care,Biotechnology,
INTC,Intel Corporation,Information Technology,Semiconductors,
INTU,Intuit Inc.,Information Technology,Software - Application,
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,
IP,International Paper Company,Materials,Packaging & Containers,
IQV,IQVIA Holdings Inc.,Health Care,Health Information Services,
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,
IRM,Iron Mountain,Real Estate,Other Specialized REITs,
ISRG,Intuitive Surgical Inc.,Health Care,Medical Instruments,
IT,Gartner Inc.,Information Technology,Information Technology Services,
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,
IVZ,Invesco Ltd.,Financials,Asset Management,
IWM,iShares Russell 2000 ETF,ETF,Index ETF,
J,Jacobs Solutions,Industrials,Construction & Engineering,
JBHT,J.B. Hunt Transport Services Inc.,Industrials,Trucking,
JBL,Jabil,Information Technology,Electronic Manufacturing Services,
JCI,Johnson Controls,Industrials,Building Products,
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,
JNJ,Johnson & Johnson,Health Care,Drug Manufacturers - General,
JPM,JPMorgan Chase & Co.,Financials,Banks - Diversified,
KDP,Keurig Dr Pepper Inc.,Consumer Staples,Beverages - Non-Alcoholic,
KEY,KeyCorp,Financials,Banks - Regional,
KEYS,Keysight Technologies Inc.,Information Technology,Scientific & Technical Instruments,
KHC,The Kraft Heinz Company,Consumer Staples,Packaged Foods,
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,
KMB,Kimberly-Clark Corporation,Consumer Staples,Household & Personal Products,
KMI,Kinder Morgan Inc.,Energy,Oil & Gas Midstream,
KMX,CarMax Inc.,Consumer Discretionary,Auto & Truck Dealerships,
KO,The Coca-Cola Company,Consumer Staples,Beverages - Non-Alcoholic,
KR,Kroger,Consumer Staples,Food Retail,
KVUE,Kenvue,Consumer Staples,Personal Care Products,
L,Loews Corporation,Financials,Multi-line Insurance,
LDOS,Leidos Holdings Inc.,Information Technology,Information Technology Services,
LEN,Lennar Corporation,Consumer Discretionary,Residential Construction,
LH,Laboratory Corporation of America,Health Care,Diagnostics & Research,
LHX,L3Harris Technologies Inc.,Industrials,Aerospace & Defense,
LII,Lennox International,Industrials,Building Products,
LIN,Linde plc,Materials,Specialty Chemicals,
LLY,Eli Lilly and Company,Health Care,Drug Manufacturers - General,
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,
LNG,Cheniere Energy Inc.,Energy,Oil & Gas Midstream,
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,
LOW,Lowe's Companies Inc.,Consumer Discretionary,Home Improvement Retail,
LRCX,Lam Research Corporation,Information Technology,Semiconductor Equipment,
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",
LUV,Southwest Airlines Co.,Industrials,Airlines,
LVS,Las Vegas Sands Corp.,Consumer Discretionary,Resorts & Casinos,
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,
LYB,LyondellBasell,Materials,Specialty Chemicals,
LYV,Live Nation Entertainment Inc.,Communication Services,Entertainment,
MA,Mastercard Inc.,Financials,Transaction & Payment Processing,
MAA,Mid-America Apartment Communities Inc.,Real Estate,REIT - Residential,
MAR,Marriott International Inc.,Consumer Discretionary,Lodging,
MAS,Masco,Industrials,Building Products,
MAT,Mattel Inc.,Consumer Discretionary,Leisure,
MCD,McDonald's Corporation,Consumer Discretionary,Restaurants,
MCHP,Microchip Technology Inc.,Information Technology,Semiconductors,
MCK,McKesson Corporation,Health Care,Medical Distribution,
MCO,Moody's Corporation,Financials,Financial Data & Stock Exchanges,
MDLZ,Mondelez International Inc.,Consumer Staples,Confectioners,
MDT,Medtronic plc,Health Care,Medical Devices,
MET,MetLife Inc.,Financials,Insurance - Life,
META,Meta Platforms Inc.,Communication Services,Internet Content & Information,
MGM,MGM Resorts International,Consumer Discretionary,Resorts & Casinos,
MKC,McCormick & Company Inc.,Consumer Staples,Packaged Foods,
MLM,Martin Marietta Materials Inc.,Materials,Building Materials,
MMC,Marsh & McLennan Companies Inc.,Financials,Insurance Brokers,
MMM,3M Company,Industrials,Conglomerates,
MNST,Monster Beverage Corporation,Consumer Staples,Beverages - Non-Alcoholic,
MO,Altria Group Inc.,Consumer Staples,Tobacco,
MOH,Molina Healthcare Inc.,Health Care,Healthcare Plans,
MOS,The Mosaic Company,Materials,Agricultural Inputs,
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,
MPWR,Monolithic Power Systems Inc.,Information Technology,Semiconductors,
MRK,Merck & Co. Inc.,Health Care,Drug Manufacturers - General,
MRNA,Moderna,Health Care,Biotechnology,
MRSH,Marsh McLennan,Financials,Insurance Brokers,
MRVL,Marvell Technology Inc.,Information Technology,Semiconductors,
MS,Morgan Stanley,Financials,Capital Markets,
MSCI,MSCI Inc.,Financials,Financial Data & Stock Exchanges,
MSFT,Microsoft Corporation,Information Technology,Software - Infrastructure,
MSI,Motorola Solutions Inc.,Industrials,Communication Equipment,
MTB,M&T Bank Corporation,Financials,Banks - Regional,
MTCH,Match Group Inc.,Communication Services,Internet Content & Information,
MTD,Mettler-Toledo International Inc.,Health Care,Diagnostics & Research,
MTZ,MasTec Inc.,Industrials,Engineering & Construction,
MU,Micron Technology Inc.,Information Technology,Semiconductors,
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Discretionary,Travel Services,
NDAQ,Nasdaq Inc.,Financials,Financial Data & Stock Exchanges,
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,
NEE,NextEra Energy Inc.,Utilities,Utilities - Regulated Electric,
NEM,Newmont Corporation,Materials,Gold,
NFLX,Netflix Inc.,Communication Services,Entertainment,
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,
NKE,NIKE Inc.,Consumer Discretionary,Footwear & Accessories,
NNN,NNN REIT Inc.,Real Estate,REIT - Retail,
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,
NOW,ServiceNow Inc.,Information Technology,Software - Application,
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,
NSC,Norfolk Southern Corporation,Industrials,Railroads,
NTAP,NetApp Inc.,Information Technology,Computer Hardware,
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,
NUE,Nucor Corporation,Materials,Steel,
NVDA,NVIDIA Corporation,Information Technology,Semiconductors,
NVR,NVR Inc.,Consumer Discretionary,Residential Construction,
NWS,News Corp (Class B),Communication Services,Publishing,
NWSA,News Corp Class A,Communication Services,Entertainment,
NXPI,NXP Semiconductors N.V.,Information Technology,Semiconductors,
O,Realty Income Corporation,Real Estate,REIT - Retail,
ODFL,Old Dominion Freight Line Inc.,Industrials,Trucking,
OKE,ONEOK Inc.,Energy,Oil & Gas Midstream,
OKTA,Okta Inc.,Information Technology,Software - Infrastructure,
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,
ON,ON Semiconductor Corporation,Information Technology,Semiconductors,
ORCL,Oracle Corporation,Information Technology,Software - Infrastructure,
ORLY,O'Reilly Automotive Inc.,Consumer Discretionary,Specialty Retail,
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,
PANW,Palo Alto Networks Inc.,Information Technology,Software - Infrastructure,
PAYC,Paycom,Industrials,Human Resource & Employment Services,
PAYX,Paychex Inc.,Information Technology,Information Technology Services,
PCAR,PACCAR Inc.,Industrials,Farm & Heavy Construction Machinery,
PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric,
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,
PEP,PepsiCo Inc.,Consumer Staples,Beverages - Non-Alcoholic,
PFE,Pfizer Inc.,Health Care,Drug Manufacturers - General,
PFG,Principal Financial Group,Financials,Life & Health Insurance,
PG,Procter & Gamble Co.,Consumer Staples,Household & Personal Products,
PGR,Progressive Corporation,Financials,Insurance - Property & Casualty,
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,
PHM,PulteGroup Inc.,Consumer Discretionary,Residential Construction,
PKG,Packaging Corporation of America,Materials,Packaging & Containers,
PLD,Prologis Inc.,Real Estate,REIT - Industrial,
PLTR,Palantir Technologies,Information Technology,Application Software,
PM,Philip Morris International Inc.,Consumer Staples,Tobacco,
PNC,PNC Financial Services Group Inc.,Financials,Banks - Regional,
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,
PODD,Insulet Corporation,Health Care,Health Care Equipment,
POOL,Pool Corporation,Consumer Discretionary,Specialty Retail,
PPG,PPG Industries Inc.,Materials,Specialty Chemicals,
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,
PRU,Prudential Financial Inc.,Financials,Insurance - Life,
PSA,Public Storage,Real Estate,REIT - Self Storage,
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,
PTC,PTC Inc.,Information Technology,Application Software,
PVH,PVH Corp.,Consumer Discretionary,Apparel Manufacturing,
PWR,Quanta Services Inc.,Industrials,Engineering & Construction,
PYPL,PayPal Holdings Inc.,Financials,Credit Services,
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,
QCOM,Qualcomm Inc.,Information Technology,Semiconductors,
QQQ,Invesco QQQ Trust (NASDAQ 100),ETF,Index ETF,
QRVO,Qorvo Inc.,Information Technology,Semiconductors,
RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary,Travel Services,
REG,Regency Centers Corporation,Real Estate,REIT - Retail,
REGN,Regeneron Pharmaceuticals Inc.,Health Care,Biotechnology,
RF,Regions Financial Corporation,Financials,Banks - Regional,
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,
RL,Ralph Lauren Corporation,Consumer Discretionary,Apparel Retail,
RMD,ResMed Inc.,Health Care,Medical Devices,
ROK,Rockwell Automation Inc.,Industrials,Specialty Industrial Machinery,
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,
ROP,Roper Technologies Inc.,Industrials,Specialty Industrial Machinery,
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,
RPM,RPM International Inc.,Materials,Specialty Chemicals,
RS,Reliance Steel & Aluminum Co.,Materials,Steel,
RSG,Republic Services Inc.,Industrials,Waste Management,
RTX,RTX Corporation,Industrials,Aerospace & Defense,
RVTY,Revvity,Health Care,Health Care Equipment,
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,
SBUX,Starbucks Corporation,Consumer Discretionary,Restaurants,
SCHW,Charles Schwab Corporation,Financials,Capital Markets,
SEE,Sealed Air Corporation,Materials,Packaging & Containers,
SGOL,Aberdeen Standard Physical Gold Shares ETF,ETF,Gold ETF,
SHW,Sherwin-Williams Company,Materials,Specialty Chemicals,
SJM,The J.M. Smucker Company,Consumer Staples,Packaged Foods,
SLB,SLB,Energy,Oil & Gas Equipment & Services,
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",
SNOW,Snowflake Inc.,Information Technology,Software - Application,
SNPS,Synopsys Inc.,Information Technology,Software - Infrastructure,
SO,The Southern Company,Utilities,Utilities - Regulated Electric,
SOLV,Solventum,Health Care,Health Care Technology,
SPG,Simon Property Group Inc.,Real Estate,REIT - Retail,
SPGI,S&P Global Inc.,Financials,Financial Data & Stock Exchanges,
SPY,SPDR S&P 500 ETF Trust,ETF,Index ETF,
SRE,Sempra,Utilities,Utilities - Diversified,
STE,Steris plc,Health Care,Medical Instruments,
STLA,Stellantis N.V.,Consumer Discretionary,Auto Manufacturers,
STLD,Steel Dynamics Inc.,Materials,Steel,
